Longitude,Latitude,Address
115.892327,40.513951,"玉海路, 玉皇庙村, 延庆区, 北京市, 中国"
115.89237,39.577591,"玉粟大街, 西甘池村, 房山区, 北京市, 中国"
115.892713,39.661882,"新泗路, 和盛场, 拴马庄村, 房山区, 北京市, 中国"
115.893,39.6022,"二龙岗村, 房山区, 北京市, 中国"
115.893001,39.602201,"二龙岗村, 房山区, 北京市, 中国"
115.893446,40.361076,"京藏高速辅路, 榆林堡村, 延庆区, 北京市, 075400, 中国"
115.893847,39.608639,"龙下路, 龙门口村, 房山区, 北京市, 中国"
115.893971,40.373611,"西官路, 康庄镇社区, 四街村, 延庆区, 北京市, 075400, 中国"
115.89432,40.378,"望都佳园社区, 四街村, 延庆区, 北京市, 075400, 中国"
115.89435,40.50229,"下付路, 下板泉村, 延庆区, 北京市, 中国"
115.894395,40.502232,"下付路, 下板泉村, 延庆区, 北京市, 中国"
115.894601,39.580772,"长沟镇, 房山区, 北京市, 中国"
115.894777,39.580561,"长沟镇, 房山区, 北京市, 中国"
115.895155,39.624761,"京昆高速, 西周各庄村, 房山区, 北京市, 中国"
115.896294,40.370801,"兴隆街, 康庄镇社区, 一街村, 延庆区, 北京市, 075400, 中国"
115.89635,40.38596,"刁五路, 刁千营村, 延庆区, 北京市, 中国"
115.89657,40.03602,"京拉路, 雁翅社区, 门头沟区, 北京市, 中国"
115.8967,40.35856,"兴隆街, 一街村, 延庆区, 北京市, 075400, 中国"
115.896935,40.358329,"兴隆街, 一街村, 延庆区, 北京市, 075400, 中国"
115.897151,39.571148,"西长沟村, 房山区, 北京市, 中国"
115.897365,39.576127,"太和庄村, 房山区, 北京市, 中国"
115.897949,39.819778,"京昆路, 辛庄村, 房山区, 北京市, 中国"
115.899814,40.364814,"康庄镇社区, 一街村, 延庆区, 北京市, 075400, 中国"
115.899994,40.020887,"京拉路, 雁翅社区, 门头沟区, 北京市, 中国"
115.900295,39.592583,"房易路, 太和庄村, 房山区, 北京市, 中国"
115.9004,40.02093,"京拉路, 雁翅社区, 门头沟区, 北京市, 中国"
115.900511,39.604973,"房易路, 龙门口村, 房山区, 北京市, 中国"
115.900834,39.627037,"西周各庄村, 房山区, 北京市, 中国"
115.900926,40.030835,"河南台路, 河南台村, 门头沟区, 北京市, 中国"
115.902015,40.508281,"京银路, 西羊坊村, 延庆区, 北京市, 中国"
115.902125,39.613107,"龙下路旧线, 龙门口村, 房山区, 北京市, 中国"
115.902187,39.610021,"房易路, 岳各庄村, 房山区, 北京市, 中国"
115.90224,40.50811,"京银路, 西羊坊村, 延庆区, 北京市, 中国"
115.903258,39.617156,"房易路, 岳各庄村, 房山区, 北京市, 中国"
115.903284,40.361649,"G234, 一街村, 延庆区, 北京市, 075400, 中国"
115.903421,40.395531,"康张路支线, 西桑园村, 延庆区, 北京市, 中国"
115.90343,40.39553,"康张路支线, 西桑园村, 延庆区, 北京市, 中国"
115.903444,39.666049,"周张路, 黄院村, 房山区, 北京市, 中国"
115.90394,40.37009,"康张路, 一街村, 延庆区, 北京市, 075400, 中国"
115.903941,40.370091,"康张路, 一街村, 延庆区, 北京市, 075400, 中国"
115.90396,40.37009,"康张路, 一街村, 延庆区, 北京市, 075400, 中国"
115.90406,40.37002,"康张路, 一街村, 延庆区, 北京市, 075400, 中国"
115.905068,40.379955,"货场路, 刁千营村, 延庆区, 北京市, 中国"
115.905691,39.815054,"京昆路, 辛庄村, 房山区, 北京市, 中国"
115.906578,39.735481,"新房子, 车厂村, 房山区, 北京市, 中国"
115.907023,40.517671,"京礼高速公路, 西羊坊村, 延庆区, 北京市, 中国"
115.907893,39.615392,"岳各庄村, 房山区, 北京市, 中国"
115.908321,39.629252,"东周各庄村, 房山区, 北京市, 中国"
115.908385,39.629301,"东周各庄村, 房山区, 北京市, 中国"
115.908469,39.790205,"查儿村, 房山区, 北京市, 中国"
115.908601,40.391977,"西桑园村, 延庆区, 北京市, 中国"
115.908751,39.620228,"岳各庄村, 房山区, 北京市, 中国"
115.908761,39.620131,"岳各庄村, 房山区, 北京市, 中国"
115.90878,40.38673,"刁千营村, 延庆区, 北京市, 中国"
115.90882,40.38665,"刁千营村, 延庆区, 北京市, 中国"
115.908821,40.386563,"刁千营村, 延庆区, 北京市, 中国"
115.909133,39.822211,"京昆路复线, 东班各庄村, 房山区, 北京市, 中国"
115.91027,39.95095,"北京市京西林场木城涧分场, 唐家地, 玉皇庙社区, 门头沟区, 北京市, 中国"
115.910271,39.951001,"北京市京西林场木城涧分场, 唐家地, 玉皇庙社区, 门头沟区, 北京市, 中国"
115.910324,39.640274,"刘家坡, 瓦井村, 房山区, 北京市, 中国"
115.91056,40.35755,"京藏高速, 外炮村, 延庆区, 北京市, 075400, 中国"
115.911264,40.511991,"京银路, 辛家堡村, 延庆区, 北京市, 中国"
115.912511,40.369726,"官厅三路, 一街村, 延庆区, 北京市, 中国"
115.912786,39.625146,"房易路, 尤家坟村, 房山区, 北京市, 中国"
115.912905,39.625152,"房易路, 尤家坟村, 房山区, 北京市, 中国"
